Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),Sentiments
26-Oct-23,19027.25,19041.7,18837.85,18857.25,300356469,28939.64,-170
27-Oct-23,18928.75,19076.15,18926.65,19047.25,205201044,19947.48,118.5
30-Oct-23,19053.4,19158.5,18940,19140.9,180132492,17095.73,87.5
31-Oct-23,19232.95,19233.7,19056.45,19079.6,206049341,19397.36,-153.35
01-Nov-23,19064.05,19096.05,18973.7,18989.15,194103279,18452.51,-74.9
02-Nov-23,19120,19175.25,19064.15,19133.25,245595109,19771.49,13.25
03-Nov-23,19241,19276.25,19210.9,19230.6,189516123,17304.87,-10.4
06-Nov-23,19345.85,19423,19309.7,19411.75,180690631,16296.56,65.9
07-Nov-23,19404.05,19423.5,19329.1,19406.7,198660124,18288.06,2.65
08-Nov-23,19449.6,19464.4,19401.5,19443.5,194967997,17060.45,-6.1
09-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472,19087.29,-62.1
10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785,12916.21,73.5
12-Nov-23,19547.25,19547.25,19510.25,19525.55,37311902,2482.27,-21.7
13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733,13527.22,-43.2
15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988,24957.24,24.05
16-Nov-23,19674.7,19875.25,19627,19765.2,282686669,26041.45,90.5
17-Nov-23,19674.75,19806,19667.45,19731.8,236827462,21681.28,57.05
20-Nov-23,19731.15,19756.45,19670.5,19694,173780543,16737.05,-37.15
21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012,17947.2,12.5
22-Nov-23,19784,19825.55,19703.85,19811.85,184497984,17405.48,27.85
23-Nov-23,19828.45,19875.15,19786.75,19802,170024085,15906.94,-26.45
24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044,14389.29,-14.9
28-Nov-23,19844.65,19916.85,19800,19889.7,229595031,23043.25,45.05
29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768,22367.64,120.05
30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349,48877.95,24.65
01-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566,22461.53,73.8
04-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418,33917.52,84.85
05-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350,41763.52,46.2
06-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958,35654.76,-13.05
07-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308,24862.43,-31.25
08-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768,27449.96,35.3
11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451,21150.17,31.8
12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128,25404.64,-112.15
13-Dec-23,20929.75,20950,20769.5,20926.35,260269318,25918.44,-3.4
14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589,32593.42,72.3
15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756,50114.46,169.2
18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965,23615.28,-16.15
19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062,23750.61,-24.55
20-Dec-23,21543.5,21593,21087.35,21150.15,363886229,30993.12,-393.35
21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079,26001.02,221.1
22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918,27709.29,53.55
26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748,20081.33,76.15
27-Dec-23,21497.65,21675.75,21495.8,21654.75,256542963,23059.25,157.1
28-Dec-23,21715,21801.45,21678,21778.7,393080755,35031,63.7
29-Dec-23,21737.65,21770.3,21676.9,21731.4,270922276,23697.88,-6.25
01-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217,14184.09,14.15
02-Jan-24,21751.35,21755.6,21555.65,21665.8,263711568,25316.13,-85.55
03-Jan-24,21661.1,21677,21500.35,21517.35,311933117,32329.23,-143.75
04-Jan-24,21605.8,21685.65,21564.55,21658.6,339172697,30868.15,52.8
05-Jan-24,21705.75,21749.6,21629.2,21710.8,309303266,26554.49,5.05
08-Jan-24,21747.6,21763.95,21492.9,21513,231452935,21140.94,-234.6
09-Jan-24,21653.6,21724.45,21517.85,21544.85,228568589,24055.74,-108.75
10-Jan-24,21529.3,21641.85,21448.65,21618.7,216991926,20958.96,89.4
11-Jan-24,21688,21726.5,21593.75,21647.2,212453866,23492.12,-40.8
12-Jan-24,21773.55,21928.25,21715.15,21894.55,294678459,30565.5,121
15-Jan-24,22053.15,22115.55,21963.55,22097.45,345543523,29523.15,44.3
16-Jan-24,22080.5,22124.15,21969.8,22032.3,292433764,24435.94,-48.2
17-Jan-24,21647.25,21851.5,21550.45,21571.95,455999867,47533.44,-75.3
18-Jan-24,21414.2,21539.4,21285.55,21462.25,387341268,39718.84,48.05
19-Jan-24,21615.2,21670.6,21575,21622.4,343055124,34429.24,7.2
20-Jan-24,21706.15,21720.3,21541.8,21571.8,162073740,13917.46,-134.35
23-Jan-24,21716.7,21750.25,21192.6,21238.8,449718534,48813.68,-477.9
24-Jan-24,21185.25,21482.35,21137.2,21453.95,407460664,41718.64,268.7
25-Jan-24,21454.6,21459,21247.05,21352.6,418143077,40088.5,-102
29-Jan-24,21433.1,21763.25,21429.6,21737.6,376702289,34516.42,304.5
30-Jan-24,21775.75,21813.05,21501.8,21522.1,375137333,32916.3,-253.65
31-Jan-24,21487.25,21741.35,21448.85,21725.7,410583065,41587.85,238.45
01-Feb-24,21780.65,21832.95,21658.75,21697.45,332541208,34042.15,-83.2
02-Feb-24,21812.75,22126.8,21805.55,21853.8,442794738,38395.9,41.05
05-Feb-24,21921.05,21964.3,21726.95,21771.7,440849699,33807.94,-149.35
06-Feb-24,21825.2,21951.4,21737.55,21929.4,370968111,32910.82,104.2
07-Feb-24,22045.05,22053.3,21860.15,21930.5,346263704,30088.76,-114.55
08-Feb-24,22009.65,22011.05,21665.3,21717.95,491069786,41082.02,-291.7
09-Feb-24,21727,21804.45,21629.9,21782.5,349222850,31176.16,55.5
12-Feb-24,21800.8,21831.7,21574.75,21616.05,287436165,23921.14,-184.75
13-Feb-24,21664.3,21766.8,21543.35,21743.25,365785766,29896.62,78.95
14-Feb-24,21578.15,21870.85,21530.2,21840.05,359120861,32535,261.9
15-Feb-24,21906.55,21953.85,21794.8,21910.75,345394395,29559.69,4.2
16-Feb-24,22020.3,22068.65,21968.95,22040.7,343892935,30666.89,20.4
19-Feb-24,22103.45,22186.65,22021.05,22122.25,218252325,21375.71,18.8
20-Feb-24,22099.2,22215.6,22045.85,22196.95,295705319,26872.32,97.75
21-Feb-24,22248.85,22249.4,21997.95,22055.05,364545679,29741.39,-193.8
22-Feb-24,22081.55,22252.5,21875.25,22217.45,343495136,33985.94,135.9
23-Feb-24,22290,22297.5,22186.1,22212.7,225983194,24617.01,-77.3
26-Feb-24,22169.2,22202.15,22075.15,22122.05,207775504,20850.26,-47.15
27-Feb-24,22090.2,22218.25,22085.65,22198.35,252199186,24620.71,108.15
28-Feb-24,22214.1,22229.15,21915.85,21951.15,202952371,20579.8,-262.95
29-Feb-24,21935.2,22060.55,21860.65,21982.8,360165824,40196.12,47.6
01-Mar-24,22048.3,22353.3,22047.75,22338.75,351503075,29646.47,290.45
02-Mar-24,22406.95,22419.55,22367.05,22378.4,35763814,1918.77,-28.55
04-Mar-24,22403.5,22440.9,22358.3,22405.6,298794435,23771.71,2.1
05-Mar-24,22371.25,22416.9,22269.15,22356.3,296153036,29165.37,-14.95
06-Mar-24,22327.5,22497.2,22224.35,22474.05,312262560,31029.01,146.55
07-Mar-24,22505.3,22525.65,22430,22493.55,379865142,33558.46,-11.75
11-Mar-24,22517.5,22526.6,22307.25,22332.65,277897373,27222.37,-184.85
12-Mar-24,22334.45,22452.55,22256,22335.7,299201167,29781.12,1.25
13-Mar-24,22432.2,22446.75,21905.65,21997.7,493341697,40109.23,-434.5
14-Mar-24,21982.55,22204.6,21917.5,22146.65,426742460,37348.3,164.1
15-Mar-24,22064.85,22120.9,21931.7,22023.35,661460455,60260.88,-41.5
18-Mar-24,21990.1,22123.7,21916.55,22055.7,356321519,23015.51,65.6
19-Mar-24,21946.45,21978.3,21793.1,21817.45,344157465,30291.6,-129
20-Mar-24,21843.9,21930.9,21710.2,21839.1,312414696,28939.85,-4.8
21-Mar-24,21989.9,22080.95,21941.3,22011.95,353172434,31258.4,22.05
22-Mar-24,21932.2,22180.7,21883.3,22096.75,388656439,39023.19,164.55
26-Mar-24,21947.9,22073.2,21947.55,22004.7,328403719,33382.08,56.8
27-Mar-24,22053.95,22193.6,22052.85,22123.65,409136866,38830.73,69.7
28-Mar-24,22163.6,22516,22163.6,22326.9,407422815,45656.57,163.3
01-Apr-24,22455,22529.95,22427.75,22462,243637071,21420.69,7
02-Apr-24,22458.8,22497.6,22388.15,22453.3,289524237,27940.93,-5.5
03-Apr-24,22385.7,22521.1,22346.5,22434.65,309647491,30793.28,48.95
04-Apr-24,22592.1,22619,22303.8,22514.65,400986156,40705.56,-77.45
05-Apr-24,22486.4,22537.6,22427.6,22513.7,242244731,24797.82,27.3
08-Apr-24,22578.35,22697.3,22550.35,22666.3,227633561,22480.2,87.95
09-Apr-24,22765.1,22768.4,22612.25,22642.75,232356772,21651.69,-122.35
10-Apr-24,22720.25,22775.7,22673.7,22753.8,276847931,25355.05,33.55
12-Apr-24,22677.4,22726.45,22503.75,22519.4,357187778,36456.91,-158
15-Apr-24,22339.05,22427.45,22259.55,22272.5,355465814,29474.59,-66.55
16-Apr-24,22125.3,22213.75,22079.45,22147.9,317267066,28661.04,22.6
18-Apr-24,22212.35,22326.5,21961.7,21995.85,456906707,43314.67,-216.5
19-Apr-24,21861.5,22179.55,21777.65,22147,362530569,36073.63,285.5
22-Apr-24,22336.9,22375.65,22198.15,22336.4,279259571,26841.2,-0.5
23-Apr-24,22447.05,22447.55,22349.45,22368,231520813,25651.64,-79.05
24-Apr-24,22421.55,22476.45,22384,22402.4,235898642,21925.6,-19.15
25-Apr-24,22316.9,22625.95,22305.25,22570.35,475044740,53803.8,253.45
26-Apr-24,22620.4,22620.4,22385.55,22419.95,329887340,36984.89,-200.45
29-Apr-24,22475.55,22655.8,22441.9,22643.4,291957361,32431.45,167.85
30-Apr-24,22679.65,22783.35,22568.4,22604.85,361859375,38741.7,-74.8
02-May-24,22567.85,22710.5,22567.85,22648.2,445909456,43133.31,80.35
03-May-24,22766.35,22794.7,22348.05,22475.85,438060727,44432.55,-290.5
06-May-24,22561.6,22588.8,22409.45,22442.7,320255789,33417.53,-118.9
07-May-24,22489.75,22499.05,22232.05,22302.5,297815469,31512.26,-187.25
08-May-24,22231.2,22368.65,22185.2,22302.5,277438692,29717.33,71.3
09-May-24,22224.8,22307.75,21932.4,21957.5,331327454,37870.88,-267.3
10-May-24,21990.95,22131.3,21950.3,22055.2,265804411,28717.71,64.25
13-May-24,22027.95,22131.65,21821.05,22104.05,278186886,29036.08,76.1
14-May-24,22112.9,22270.05,22081.25,22217.85,230238941,23741.66,104.95
15-May-24,22255.6,22297.55,22151.75,22200.55,231935478,23815.79,-55.05
16-May-24,22319.2,22432.25,22054.55,22403.85,368945092,38836.11,84.65
17-May-24,22415.25,22502.15,22345.65,22466.1,242654570,27388.67,50.85
18-May-24,22512.85,22520.25,22470.05,22502,19064566,1572.77,-10.85
21-May-24,22404.55,22591.1,22404.55,22529.05,347591587,30782.35,124.5
22-May-24,22576.6,22629.5,22483.15,22597.8,290345590,28556.14,21.2
23-May-24,22614.1,22993.6,22577.45,22967.65,369767547,39157.65,353.55
24-May-24,22930.75,23026.4,22908,22957.1,261927120,27966.99,26.35
27-May-24,23038.95,23110.8,22871.2,22932.45,260006078,27204.54,-106.5
28-May-24,22977.15,22998.55,22858.5,22888.15,217890750,23054.65,-89
29-May-24,22762.75,22825.5,22685.45,22704.7,269932784,27549.09,-58.05
30-May-24,22617.45,22705.75,22417,22488.65,373374457,32991.46,-128.8
31-May-24,22568.1,22653.75,22465.1,22530.7,572122639,67040.32,-37.4
03-Jun-24,23337.9,23338.7,23062.3,23263.9,569425569,56418.25,-74
04-Jun-24,23179.5,23179.5,21281.45,21884.5,1006105058,93786.44,-1295
05-Jun-24,22128.35,22670.4,21791.95,22620.35,638487077,64326.85,492
06-Jun-24,22798.6,22910.15,22642.6,22821.4,480413289,49047.39,22.8
07-Jun-24,22821.85,23320.2,22789.05,23290.15,473554898,47621.54,468.3
10-Jun-24,23319.15,23411.9,23227.15,23259.2,304392368,29060.4,-59.95
11-Jun-24,23283.75,23389.45,23206.65,23264.85,305185666,29190.91,-18.9
12-Jun-24,23344.45,23441.95,23295.95,23322.95,295630910,31795.48,-21.5
13-Jun-24,23480.95,23481.05,23353.9,23398.9,268279841,30151.67,-82.05
14-Jun-24,23464.95,23490.4,23334.25,23465.6,223086741,25746.34,0.65
18-Jun-24,23570.8,23579.05,23499.7,23557.9,272207297,29389.75,-12.9
19-Jun-24,23629.85,23664,23412.9,23516,328811255,39430.39,-113.85
20-Jun-24,23586.15,23624,23442.6,23567,280336970,33390.07,-19.15
21-Jun-24,23661.15,23667.1,23398.2,23501.1,609877803,70062.97,-160.05
24-Jun-24,23382.3,23558.1,23350,23537.85,239358460,24862.37,155.55
25-Jun-24,23577.1,23754.15,23562.05,23721.3,298111025,34263.36,144.2
26-Jun-24,23723.1,23889.9,23670.45,23868.8,287824687,33979.62,145.7
27-Jun-24,23881.55,24087.45,23805.4,24044.5,515227010,61216.71,162.95
28-Jun-24,24085.9,24174,23985.8,24010.6,354779832,41242.87,-75.3
01-Jul-24,23992.95,24164,23992.7,24141.95,242468081,28204.06,149
02-Jul-24,24228.75,24236.35,24056.4,24123.85,309629240,34838.65,-104.9
03-Jul-24,24291.75,24309.15,24207.1,24286.5,289201551,36661.17,-5.25
04-Jul-24,24369.95,24401,24281,24302.15,251189844,28466.6,-67.8
05-Jul-24,24213.35,24363,24168.85,24323.85,298381204,32052.48,110.5
08-Jul-24,24329.45,24344.6,24240.55,24320.55,266299131,26356.03,-8.9
09-Jul-24,24351,24443.6,24331.9,24433.2,250537091,29361.08,82.2
10-Jul-24,24459.85,24461.05,24141.8,24324.45,292263786,35358.54,-135.4
11-Jul-24,24396.55,24402.65,24193.75,24315.95,306404194,32115.44,-80.6
12-Jul-24,24387.95,24592.2,24331.15,24502.15,325823474,39565.33,114.2
15-Jul-24,24587.6,24635.05,24522.75,24586.7,305395934,31593.04,-0.9
16-Jul-24,24615.9,24661.25,24587.65,24613,283212233,28668.71,-2.9
18-Jul-24,24543.8,24837.75,24504.45,24800.85,350924425,40477.17,257.05
19-Jul-24,24853.8,24854.8,24508.15,24530.9,,,-322.9
22-Jul-24,24445.75,24595.2,24362.3,24509.25,324190553,32496.23,63.5
23-Jul-24,24568.9,24582.55,24074.2,24479.05,436408768,44921.42,-89.85
24-Jul-24,24444.95,24504.25,24307.25,24413.5,366616574,39538.11,-31.45
25-Jul-24,24230.95,24426.15,24210.8,24406.1,391821970,37853.62,175.15
26-Jul-24,24423.35,24861.15,24410.9,24834.85,383826136,42118.36,411.5
29-Jul-24,24943.3,24999.75,24774.6,24836.1,354966070,37102.92,-107.2
30-Jul-24,24839.4,24971.75,24798.65,24857.3,384989431,37576.58,17.9
31-Jul-24,24886.7,24984.6,24856.5,24951.15,333646302,35411.32,64.45
01-Aug-24,25030.95,25078.3,24956.4,25010.9,431313292,38822.9,-20.05
02-Aug-24,24789,24851.9,24686.85,24717.7,345027881,35368.54,-71.3
05-Aug-24,24302.85,24350.05,23893.7,24055.6,486994718,45066.65,-247.25
06-Aug-24,24189.85,24382.6,23960.4,23992.55,312339387,31553.65,-197.3
07-Aug-24,24289.4,24337.7,24184.9,24297.5,317564429,29738.85,8.1
08-Aug-24,24248.55,24340.5,24079.7,24117,311875940,30858.18,-131.55
09-Aug-24,24386.85,24419.75,24311.2,24367.5,215129992,22339.19,-19.35
12-Aug-24,24320.05,24472.8,24212.1,24347,279925100,30311.85,26.95
13-Aug-24,24342.35,24359.95,24116.5,24139,239727640,25459.58,-203.35
14-Aug-24,24184.4,24196.5,24099.7,24143.75,303254705,27834.61,-40.65
16-Aug-24,24334.85,24563.9,24204.5,24541.15,271611087,28521.9,206.3
19-Aug-24,24636.35,24638.8,24522.95,24572.65,243645503,22124.41,-63.7
20-Aug-24,24648.9,24734.3,24607.2,24698.85,238318940,25478.73,49.95
21-Aug-24,24680.55,24787.95,24654.5,24770.2,257114212,27404.63,89.65
22-Aug-24,24863.4,24867.35,24784.45,24811.5,220345125,24227.03,-51.9
23-Aug-24,24845.4,24858.4,24771.65,24823.15,206800655,23134.22,-22.25
26-Aug-24,24906.1,25043.8,24874.7,25010.6,210266456,22166.86,104.5
27-Aug-24,25024.8,25073.1,24973.65,25017.75,223346636,26695,-7.05
28-Aug-24,25030.8,25129.6,24964.65,25052.35,220419448,26994.19,21.55
29-Aug-24,25035.3,25192.9,24998.5,25151.95,353993900,43221.73,116.65
30-Aug-24,25249.7,25268.35,25199.4,25235.9,638166179,89554.91,-13.8
02-Sep-24,25333.6,25333.65,25235.5,25278.7,222815249,28187.71,-54.9
03-Sep-24,25313.4,25321.7,25235.8,25279.85,212131921,27276.14,-33.55
04-Sep-24,25089.95,25216,25083.8,25198.7,253788501,26293.35,108.75
05-Sep-24,25250.5,25275.45,25127.75,25145.1,222242223,26272.38,-105.4
06-Sep-24,25093.7,25168.75,24801.3,24852.15,311671856,33001.17,-241.55
09-Sep-24,24823.4,24957.5,24753.15,24936.4,254367252,25180.28,113
10-Sep-24,24999.4,25130.5,24896.8,25041.1,251274802,27846.31,41.7
11-Sep-24,25034,25113.7,24885.15,24918.45,279229206,29395.73,-115.55
12-Sep-24,25059.65,25433.35,24941.45,25388.9,380069653,41747.91,329.25
13-Sep-24,25430.45,25430.5,25292.45,25356.5,250781898,25530.69,-73.95
16-Sep-24,25406.65,25445.7,25336.2,25383.75,168694880,18705.01,-22.9
17-Sep-24,25416.9,25441.65,25352.25,25418.55,215956868,25280.83,1.65
18-Sep-24,25402.4,25482.2,25285.55,25377.55,215727159,28832,-24.85
19-Sep-24,25487.05,25611.95,25376.05,25415.8,314461263,34389.27,-71.25
20-Sep-24,25525.95,25849.25,25426.6,25790.95,533067422,68915.27,265
23-Sep-24,25872.55,25956,25847.35,25939.05,209187756,24825.74,66.5
24-Sep-24,25921.45,26011.55,25886.85,25940.4,384115033,35573.63,18.95
25-Sep-24,25899.45,26032.8,25871.35,26004.15,278540972,27868.08,104.7
26-Sep-24,26005.4,26250.9,25998.4,26216.05,370895477,40838.36,210.65
27-Sep-24,26248.25,26277.35,26151.4,26178.95,490332370,55420.63,-69.3
30-Sep-24,26061.3,26134.7,25794.1,25810.85,375370974,36028.06,-250.45
01-Oct-24,25788.45,25907.6,25739.2,25796.9,247423786,27473.29,8.45
03-Oct-24,25452.85,25639.45,25230.3,25250.1,423395030,45689.5,-202.75
04-Oct-24,25181.9,25485.05,24966.8,25014.6,374914801,42719.71,-167.3
07-Oct-24,25084.1,25143,24694.35,24795.75,374345795,40550.24,-288.35
08-Oct-24,24832.2,25044,24756.8,25013.15,333220055,33493.36,180.95
09-Oct-24,25065.8,25234.05,24947.7,24981.95,290562844,30877.63,-83.85
10-Oct-24,25067.05,25134.05,24979.4,24998.45,261364749,28046.45,-68.6
11-Oct-24,24985.3,25028.65,24920.05,24964.25,210462717,21734.97,-21.05
14-Oct-24,25023.45,25159.75,25017.5,25127.95,206423311,21270.9,104.5
15-Oct-24,25186.3,25212.05,25008.15,25057.35,257228772,29113.88,-128.95
16-Oct-24,25008.55,25093.4,24908.45,24971.3,226774456,24115.83,-37.25
17-Oct-24,25027.4,25029.5,24728.9,24749.85,252755662,32606.34,-277.55
18-Oct-24,24664.95,24886.2,24567.65,24854.05,290855392,31772.76,189.1
21-Oct-24,24956.15,24978.3,24679.6,24781.1,241978957,32207.22,-175.05
22-Oct-24,24798.65,24882,24445.8,24472.1,279484697,32801.59,-326.55
23-Oct-24,24378.15,24604.25,24378.1,24435.5,284556771,31928.1,57.35
24-Oct-24,24412.7,24480.65,24341.2,24399.4,216686434,27817.66,-13.3
25-Oct-24,24418.05,24440.25,24073.9,24180.8,,,-237.25
